X,Y,COMMUNITY,RATING,DATE_RISK,COMMID,COMMTYPE,FPZONE,FMZONE,LGA,ALCOUNCIL,POPULATION,MUNSPROV,MUNSTYPE,FUELREDUC,FIREBREAK,FIREPLAN,LATITUDE,LONGITUDE
134.1827916667,-19.6476527778,Munji-Marla,Low,2020/06/30,"215",Town Camp,No,ERA,Barkly Regional Council,Central Land Council,"7",Barkly Regional Council,Local Government Association,Yes,Yes,No,-19.647652999999998,134.182792000000006
136.18938,-16.09259,Munyalini,Moderate,2020/06/30,"249",Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,"50",Mabunji Aboriginal Resource Indigenous Corporation,Aboriginal Corporation,Yes,Yes,No,-16.092590000000001,136.189380000000000
132.91239,-11.71041,Murgenella Plains,High,2020/06/30,"977",Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-11.710410000000000,132.912389999999988
132.8107,-16.83598,Murranji,High,2020/06/30,"858",Family Outstation,No,Savanna,Barkly Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-16.835979999999999,132.810699999999997
134.38936,-19.91784,Murtulki,Moderate,2020/06/30,"688",Family Outstation,No,Barkly,Barkly Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-19.917840000000002,134.389360000000011
137.51754,-18.49908,Murun Murula,High,2020/06/30,"689",Family Outstation,No,Barkly,Barkly Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-18.499079999999999,137.517539999999997
130.48457,-15.67527,Muruning,Moderate,2020/06/30,"648",Family Outstation,No,Savanna,Victoria-Daly Regional Council,Northern Land Council,"23",Ngaliwurru-Wuli Association,Aboriginal Corporation,Yes,Yes,No,-15.675269999999999,130.484569999999991
131.0667,-25.3523,Mutitjulu,Moderate,2020/06/30,"120",Major,No,Alice Springs,MacDonnell Regional Council,Central Land Council,"380",Mutitjulu Community Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-25.352300000000000,131.066699999999997
129.00489,-23.15972,Muyin,High,2020/06/30,"764",Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-23.159720000000000,129.004889999999989
130.483347,-15.70656,Myatt,Moderate,2020/06/30,"678",Family Outstation,No,Savanna,Victoria-Daly Regional Council,Northern Land Council,"63",Ngaliwurru-Wuli Association,Aboriginal Corporation,Yes,Yes,No,-15.706560000000000,130.483347000000009
133.29216,-12.30829,Nabarlek,High,2020/06/30,"395",Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-12.308290000000000,133.292159999999996
134.40225,-12.06125,Nabbarla Kunindabba,Moderate,2020/06/30,"887",Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-12.061249999999999,134.402250000000009
134.29454,-11.99384,Nadilmuk,Low,2020/06/30,"886",Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,"5",Bawinanga Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-11.993840000000001,134.294540000000012
129.76657,-13.95376,Nadirri,High,2020/06/30,"396",Family Outstation,No,Vernon Arafura,Victoria-Daly Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-13.953760000000001,129.766570000000002
135.178625,-12.5419583333,Naliyindi,High,2020/06/30,"541",Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-12.541957999999999,135.178625000000011
129.85879,-14.22945,Nama,Moderate,2020/06/30,"1026",Family Outstation,No,Vernon Arafura,West Daly Regional Council,Northern Land Council,"40",West Daly Regional Council,Local Government Association,Yes,Yes,No,-14.229450000000000,129.858789999999999
133.71549,-18.56818,Namerinni,High,2020/06/30,"906",Family Outstation,No,Barkly,Barkly Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-18.568180000000002,133.715489999999988
134.02473,-12.157791,Namugardabu,High,2020/06/30,"389",Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-12.157791000000000,134.024730000000005
134.28387,-12.21148,Nangak,Moderate,2020/06/30,"392",Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,"15",Bawinanga Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.211480000000000,134.283870000000007
129.37335,-14.37314,Nangu,High,2020/06/30,"393",Family Outstation,No,Vernon Arafura,Victoria-Daly Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-14.373139999999999,129.373349999999988
135.87365,-11.76057,Nanyingburra,Moderate,2020/06/30,"543",Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-11.760570000000000,135.873649999999998
133.61851,-19.10426,Napagunpa,Moderate,2020/06/30,"974",Family Outstation,No,Barkly,Barkly Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-19.104260000000000,133.618509999999986
132.981125,-24.021125,Natjitnama,Moderate,2020/06/30,"873",Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-24.021125000000001,132.981124999999992
